authentication_required,authors_or_source,category,checkpoint_name,compatibility_reason,component_compatible,display_name,download_status,download_strategy,downloadable,failure_reason,huggingface_repo,input_format,license,license_status,local_checkpoint_path,model_name,official_repo_url,parameter_count,patch_tokens,resolution,role,supports_external_inputs_embeds,trained_on,visual_representation
UNKNOWN; check model card,https://github.com/microsoft/hi-ml,encoder,pytorch_model.bin,,True,Microsoft BioViL-T,NOT_DOWNLOADED,huggingface_snapshot,YES,No download attempted or official source is unverified,microsoft/BiomedVLP-BioViL-T,MODEL-SPECIFIC; verify official processor,Microsoft research/model-card terms; verify before redistribution,Microsoft research/model-card terms; verify before redistribution,cache/models/biovilt,biovilt,https://github.com/microsoft/hi-ml,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_report_pretrained_encoder,,MS-CXR and related chest-X-ray/report supervision,NOT RECORDED UNTIL SANITY TEST
UNKNOWN,https://github.com/Soombit-ai/cxr-clip,encoder,model-best.tar,,True,CXR-CLIP Swin-T MIMIC-CXR,NOT_DOWNLOADED,official_release_manual,YES,No download attempted or official source is unverified,,MODEL-SPECIFIC; verify official processor,CC BY-NC 4.0 (project README),CC BY-NC 4.0 (project README),cache/models/cxrclip_swint_mimic,cxrclip_swint_mimic,https://github.com/Soombit-ai/cxr-clip,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_report_pretrained_encoder,,MIMIC-CXR; variants also use CheXpert and ChestX-ray14,NOT RECORDED UNTIL SANITY TEST
UNKNOWN; check model card,https://github.com/Stanford-AIMI/CheXagent,encoder,model files in Hugging Face repository,,True,CheXagent XraySigLIP,NOT_DOWNLOADED,huggingface_snapshot,YES,No download attempted or official source is unverified,StanfordAIMI/XraySigLIP__vit-b-16-siglip-512__webli,MODEL-SPECIFIC; verify official processor,model-card terms; verify before redistribution,model-card terms; verify before redistribution,cache/models/xray_siglip,xray_siglip,https://github.com/Stanford-AIMI/CheXagent,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_adapted_encoder,,CheXagent/XraySigLIP chest-X-ray adaptation,NOT RECORDED UNTIL SANITY TEST
UNKNOWN; check model card,https://github.com/Stanford-AIMI/CheXagent,encoder,model files in Hugging Face repository,,True,CheXagent XrayCLIP,NOT_DOWNLOADED,huggingface_snapshot,YES,No download attempted or official source is unverified,StanfordAIMI/XrayCLIP__vit-b-16-siglip-512__webli,MODEL-SPECIFIC; verify official processor,model-card terms; verify before redistribution,model-card terms; verify before redistribution,cache/models/xray_clip,xray_clip,https://github.com/Stanford-AIMI/CheXagent,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_adapted_encoder,,CheXagent chest-X-ray adaptation,NOT RECORDED UNTIL SANITY TEST
UNKNOWN,NOT VERIFIED,encoder,,,True,GLoRIA,NOT_DOWNLOADED,manual_verification_required,UNKNOWN,No download attempted or official source is unverified,,MODEL-SPECIFIC; verify official processor,UNVERIFIED,UNVERIFIED,cache/models/gloria,gloria,,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_report_pretrained_encoder,,MIMIC-CXR in the published method,NOT RECORDED UNTIL SANITY TEST
UNKNOWN,NOT VERIFIED,encoder,,,True,MGCA,NOT_DOWNLOADED,manual_verification_required,UNKNOWN,No download attempted or official source is unverified,,MODEL-SPECIFIC; verify official processor,UNVERIFIED,UNVERIFIED,cache/models/mgca,mgca,,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_report_pretrained_encoder,,MIMIC-CXR in the published method,NOT RECORDED UNTIL SANITY TEST
UNKNOWN,NOT VERIFIED,encoder,,,True,REFERS,NOT_DOWNLOADED,manual_verification_required,UNKNOWN,No download attempted or official source is unverified,,MODEL-SPECIFIC; verify official processor,UNVERIFIED,UNVERIFIED,cache/models/refers,refers,,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_report_pretrained_encoder,,chest-X-ray/report supervision reported by authors,NOT RECORDED UNTIL SANITY TEST
UNKNOWN,NOT VERIFIED,encoder,,native connector must be separated and tested,False,LLaVA-Rad CXR visual encoder,NOT_DOWNLOADED,manual_verification_required,UNKNOWN,No download attempted or official source is unverified,,MODEL-SPECIFIC; verify official processor,UNVERIFIED,UNVERIFIED,cache/models/biomedclip_cxr_llava_rad,biomedclip_cxr_llava_rad,,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_adapted_encoder,,CXR-specialised LLaVA-Rad system,NOT RECORDED UNTIL SANITY TEST
UNKNOWN,NOT VERIFIED,encoder,,,True,MRM (BenchX),NOT_DOWNLOADED,manual_verification_required,UNKNOWN,No download attempted or official source is unverified,,MODEL-SPECIFIC; verify official processor,UNVERIFIED,UNVERIFIED,cache/models/mrm_benchx,mrm_benchx,,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_pretrained_encoder,,MIMIC-CXR reported by BenchX,NOT RECORDED UNTIL SANITY TEST
UNKNOWN,NOT VERIFIED,encoder,,,True,MedKLIP (BenchX),NOT_DOWNLOADED,manual_verification_required,UNKNOWN,No download attempted or official source is unverified,,MODEL-SPECIFIC; verify official processor,UNVERIFIED,UNVERIFIED,cache/models/medklip_benchx,medklip_benchx,,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_pretrained_encoder,,chest-X-ray data reported by BenchX,NOT RECORDED UNTIL SANITY TEST
UNKNOWN,NOT VERIFIED,encoder,,,True,M-FLAG (BenchX),NOT_DOWNLOADED,manual_verification_required,UNKNOWN,No download attempted or official source is unverified,,MODEL-SPECIFIC; verify official processor,UNVERIFIED,UNVERIFIED,cache/models/mflag_benchx,mflag_benchx,,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_pretrained_encoder,,chest-X-ray data reported by BenchX,NOT RECORDED UNTIL SANITY TEST
UNKNOWN,NOT VERIFIED,encoder,,,True,PTUnifier (BenchX),NOT_DOWNLOADED,manual_verification_required,UNKNOWN,No download attempted or official source is unverified,,MODEL-SPECIFIC; verify official processor,UNVERIFIED,UNVERIFIED,cache/models/ptunifier_benchx,ptunifier_benchx,,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_pretrained_encoder,,chest-X-ray data reported by BenchX,NOT RECORDED UNTIL SANITY TEST
UNKNOWN,NOT VERIFIED,encoder,,,True,ConVIRT (BenchX),NOT_DOWNLOADED,manual_verification_required,UNKNOWN,No download attempted or official source is unverified,,MODEL-SPECIFIC; verify official processor,UNVERIFIED,UNVERIFIED,cache/models/convirt_benchx,convirt_benchx,,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_pretrained_encoder,,chest-X-ray image-text pretraining,NOT RECORDED UNTIL SANITY TEST
