encoder,decoder,classification,reason
biovilt,radphi2,FULL_MODEL_ONLY,external visual embedding interface must be verified
biovilt,libra_3b,FULL_MODEL_ONLY,native RAD-DINO/TAC/Llama stack
biovilt,radialog_rg,FULL_MODEL_ONLY,published checkpoint includes a project-specific image embedding path
biovilt,llava_rad,FULL_MODEL_ONLY,native projector and decoder pairing must be preserved
biovilt,xraygpt,FULL_MODEL_ONLY,full multimodal architecture; no clean decoder-only release verified
biovilt,maira2,FULL_MODEL_ONLY,Decoder is registered as a complete pretrained system
cxrclip_swint_mimic,radphi2,FULL_MODEL_ONLY,external visual embedding interface must be verified
cxrclip_swint_mimic,libra_3b,FULL_MODEL_ONLY,native RAD-DINO/TAC/Llama stack
cxrclip_swint_mimic,radialog_rg,FULL_MODEL_ONLY,published checkpoint includes a project-specific image embedding path
cxrclip_swint_mimic,llava_rad,FULL_MODEL_ONLY,native projector and decoder pairing must be preserved
cxrclip_swint_mimic,xraygpt,FULL_MODEL_ONLY,full multimodal architecture; no clean decoder-only release verified
cxrclip_swint_mimic,maira2,FULL_MODEL_ONLY,Decoder is registered as a complete pretrained system
xray_siglip,radphi2,FULL_MODEL_ONLY,external visual embedding interface must be verified
xray_siglip,libra_3b,FULL_MODEL_ONLY,native RAD-DINO/TAC/Llama stack
xray_siglip,radialog_rg,FULL_MODEL_ONLY,published checkpoint includes a project-specific image embedding path
xray_siglip,llava_rad,FULL_MODEL_ONLY,native projector and decoder pairing must be preserved
xray_siglip,xraygpt,FULL_MODEL_ONLY,full multimodal architecture; no clean decoder-only release verified
xray_siglip,maira2,FULL_MODEL_ONLY,Decoder is registered as a complete pretrained system
xray_clip,radphi2,FULL_MODEL_ONLY,external visual embedding interface must be verified
xray_clip,libra_3b,FULL_MODEL_ONLY,native RAD-DINO/TAC/Llama stack
xray_clip,radialog_rg,FULL_MODEL_ONLY,published checkpoint includes a project-specific image embedding path
xray_clip,llava_rad,FULL_MODEL_ONLY,native projector and decoder pairing must be preserved
